Titre,Vendeur,Prix,Ville,Carburant,Boite à vitesses,Puissance Fiscale,Nombre des images,Type,Secteur,Origine,État,Marque,Modèle,Année-Modèle,Nombre de portes,Première main,Kilométrage,Equipements
peugeot 207 diesel,Rachid,75 000 DH,Rabat,Diesel,Manuelle,6 CV,7 Images,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Très bon,Peugeot,207,2008,5,Non,190 000 - 199 999,"['CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'Vitres Électriques', 'Caméra De Recul', 'Radar De Recul', 'Climatisation', 'ABS']"
BMW X1 Diesel Automatique 2022 à Casablanca,Mr,385 000 DH,Casablanca,Diesel,Automatique,6 CV,8 Images,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,BMW,X1,2022,5,Oui,10 000 - 14 999,"['Caméra De Recul', 'Toit Ouvrant', 'Sièges Cuir', 'Ordinateur De Bord', 'Vitres Électriques', 'Radar De Recul', 'ABS', 'Limiteur De Vitesse', 'Climatisation', 'CD/MP3/Bluetooth', 'ESP', 'Airbags', 'Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'Jantes Aluminium']"
Cupra Formentor Diesel Automatique 2022 à Fès,W16_autohaus,PRIX NON SPÉCIFIÉ,Fès,Diesel,Automatique,8 CV,8 Images,"Voitures d'occasion, à vendre",Route Ain Chkaf,Importée neuve,,Cupra,Formentor,2022,5,Oui,25 000 - 29 999,[]
Peugeot 3008 Diesel Automatique 2019 à Rabat,Auto Rachid,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Automatique,8 CV,9 Images,"Voitures d'occasion, à vendre",Hay el Fath,WW au Maroc,Excellent,Peugeot,3008,2019,5,Oui,100 000 - 109 999,[]
Opel Corsa Diesel Manuelle 2021 à Tanger,Global occaz tanger,145 000 DH,Tanger,Diesel,Manuelle,6 CV,9 Images,"Voitures d'occasion, à vendre",Centre ville,WW au Maroc,Excellent,Opel,Corsa,2021,5,Oui,80 000 - 84 999,[]
Ford Kuga Diesel Manuelle 6 rapports 2019,Auto 212,183 000 DH,Casablanca,Diesel,Manuelle,6 CV,10 Images,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Ford,Kuga,2019,5,Oui,140 000 - 149 999,"['Caméra De Recul', 'ABS', 'Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'Jantes Aluminium', 'Radar De Recul', 'Airbags', 'Limiteur De Vitesse', 'Climatisation', 'ESP', 'CD/MP3/Bluetooth', 'Vitres Électriques', 'Ordinateur De Bord', 'Système De Navigation/GPS']"
Mercedes-Benz Classe Cla diesel,Yassin,PRIX NON SPÉCIFIÉ,Marrakech,Diesel,Automatique,8 CV,4 Images,"Voitures d'occasion, à vendre",Centre Ville,WW au Maroc,Excellent,Mercedes-Benz,Classe CLA,2021,5,Oui,65 000 - 69 999,"['Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'Caméra De Recul', 'Climatisation', 'Limiteur De Vitesse', 'Système De Navigation/GPS', 'ABS', 'ESP', 'Ordinateur De Bord', 'Jantes Aluminium', 'Sièges Cuir', 'Airbags', 'Radar De Recul', 'CD/MP3/Bluetooth', 'Vitres Électriques']"
Opel Grandland X 1er main BVM 2019 à Marrakech,Med Taoufik,195 000 DH,Marrakech,Diesel,Manuelle,6 CV,9 Images,"Voitures d'occasion, à vendre",Azli,WW au Maroc,Excellent,Opel,Grandland X,2019,5,Oui,60 000 - 64 999,"['CD/MP3/Bluetooth', 'Caméra De Recul', 'Radar De Recul', 'ESP', 'Limiteur De Vitesse', 'Jantes Aluminium', 'Système De Navigation/GPS', 'Airbags', 'ABS', 'Climatisation', 'Verrouillage Centralisé À Distance', 'Ordinateur De Bord', 'Régulateur De Vitesse', 'Vitres Électriques']"
Chery QQ Essence Manuelle 2010 à Mohammedia,MOSTAFA,33 000 DH,Mohammedia,Essence,Manuelle,5 CV,5 Images,"Voitures d'occasion, à vendre",Centre Ville,WW au Maroc,Excellent,Chery,QQ,2010,5,Non,85 000 - 89 999,[]
Renault Clio Diesel Manuelle 2021 à Tanger,VIP Auto Tanger,128 000 DH,Tanger,Diesel,Manuelle,6 CV,18 Images,"Voitures d'occasion, à vendre",Mozart,WW au Maroc,Bon,Renault,Clio,2021,5,Non,120 000 - 129 999,"['Airbags', 'Régulateur De Vitesse', 'Limiteur De Vitesse', 'Radar De Recul', 'Jantes Aluminium', 'Vitres Électriques', 'Ordinateur De Bord', 'CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'Climatisation', 'Système De Navigation/GPS', 'ABS']"
Dacia Dokker Clim 70 000 km,Le Particulier,122 000 DH,Casablanca,Diesel,Manuelle,6 CV,8 Images,"Voitures d'occasion, à vendre",C.I.L,WW au Maroc,Excellent,Dacia,Dokker,2019,5,,75 000 - 79 999,[]
seat Ibiza diesel,Rachid,77 000 DH,Rabat,Diesel,Manuelle,6 CV,4 Images,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Très bon,Seat,Ibiza,2010,5,Non,200 000 - 249 999,"['Vitres Électriques', 'ABS', 'Ordinateur De Bord', 'CD/MP3/Bluetooth', 'Climatisation', 'Jantes Aluminium', 'Radar De Recul', 'Verrouillage Centralisé À Distance', 'ESP']"
nissan Micra,DRISS,128 000 DH,Kénitra,Diesel,Manuelle,6 CV,5 Images,"Voitures d'occasion, à vendre",Ouled Oujih,WW au Maroc,Excellent,Nissan,Micra,2020,5,Oui,90 000 - 94 999,"['CD/MP3/Bluetooth', 'Vitres Électriques', 'ABS', 'Verrouillage Centralisé À Distance', 'Ordinateur De Bord', 'Limiteur De Vitesse', 'Climatisation', 'Régulateur De Vitesse', 'Airbags', 'ESP']"
Volkswagen Transporter Diesel Manuelle 2018,Said,PRIX NON SPÉCIFIÉ,Kénitra,Diesel,Manuelle,8 CV,4 Images,"Voitures d'occasion, à vendre",Al Maghrib Al Arabi,WW au Maroc,Très bon,Volkswagen,TRANSPORTER,2018,3,Oui,100 000 - 109 999,[]
Volkswagen Tiguan Diesel Automatique 2019,Autoparis,385 000 DH,Casablanca,Diesel,Automatique,8 CV,9 Images,"Voitures d'occasion, à vendre",Hay Hassani,Dédouanée,Très bon,Volkswagen,Tiguan,2019,3,Oui,80 000 - 84 999,"['Sièges Cuir', 'Système De Navigation/GPS', 'Airbags', 'ESP', 'Jantes Aluminium', 'CD/MP3/Bluetooth', 'Radar De Recul', 'Verrouillage Centralisé À Distance', 'Caméra De Recul', 'Vitres Électriques', 'Régulateur De Vitesse', 'Limiteur De Vitesse', 'Climatisation', 'Toit Ouvrant', 'ABS', 'Ordinateur De Bord']"
Jeep Cherokee Diesel Automatique 2015 à Fès,AUTO AMIR FES,187 000 DH,Fès,Diesel,Automatique,8 CV,9 Images,"Voitures d'occasion, à vendre",Hay Saada,WW au Maroc,Très bon,Jeep,Cherokee,2015,5,Non,140 000 - 149 999,[]
Volkswagen Tiguan Diesel Automatique 2021 à Nador,abdelilah,PRIX NON SPÉCIFIÉ,Nador,Diesel,Automatique,8 CV,9 Images,"Voitures d'occasion, à vendre",Al aroui,Dédouanée,Excellent,Volkswagen,Tiguan,2021,5,Oui,80 000 - 84 999,"['Système De Navigation/GPS', 'Ordinateur De Bord', 'Sièges Cuir', 'Climatisation', 'ESP', 'Limiteur De Vitesse', 'Vitres Électriques', 'ABS', 'Airbags', 'Verrouillage Centralisé À Distance', 'Radar De Recul', 'CD/MP3/Bluetooth', 'Toit Ouvrant', 'Régulateur De Vitesse', 'Jantes Aluminium', 'Caméra De Recul']"
Nissan Juke Diesel Manuelle 2017 à Rabat,haje,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Manuelle,6 CV,7 Images,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Nissan,Juke,2017,5,Oui,75 000 - 79 999,"['Airbags', 'Climatisation', 'Caméra De Recul', 'Jantes Aluminium', 'Verrouillage Centralisé À Distance', 'Sièges Cuir', 'ABS', 'Limiteur De Vitesse', 'ESP', 'Régulateur De Vitesse', 'Radar De Recul', 'Ordinateur De Bord', 'Vitres Électriques', 'CD/MP3/Bluetooth']"
Porsche Cayenne Coupé Hybride Automatique 2024,Magnum OTO,PRIX NON SPÉCIFIÉ,Rabat,Hybride,Automatique,15 CV,14 Images,"Voitures d'occasion, à vendre",Agdal,Importée neuve,Neuf,Porsche,cayenne_coupe,2024,5,Oui,0 - 4 999,"['ABS', 'Airbags', 'Radar De Recul', 'Caméra De Recul', 'ESP', 'Climatisation', 'Ordinateur De Bord', 'Limiteur De Vitesse', 'Vitres Électriques', 'Régulateur De Vitesse', 'Verrouillage Centralisé À Distance', 'Système De Navigation/GPS', 'Sièges Cuir', 'Toit Ouvrant', 'Jantes Aluminium', 'CD/MP3/Bluetooth']"
Renault Clio Diesel Manuelle 2021 à Meknès,Auto_simohamed,182 000 DH,Meknès,Diesel,Manuelle,6 CV,10 Images,"Voitures d'occasion, à vendre",Hamria,WW au Maroc,Neuf,Renault,Clio,2021,5,Oui,35 000 - 39 999,[]
Volkswagen Touareg Diesel Automatique 2019 à Rabat,MA Voiture,265 000 DH,Rabat,Diesel,Automatique,12 CV,14 Images,"Voitures d'occasion, à vendre",Massira,WW au Maroc,Excellent,Volkswagen,Touareg,2019,5,Non,110 000 - 119 999,"['Limiteur De Vitesse', 'Ordinateur De Bord', 'Climatisation', 'Système De Navigation/GPS', 'CD/MP3/Bluetooth', 'Radar De Recul', 'Jantes Aluminium', 'ESP', 'Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'Airbags', 'ABS', 'Vitres Électriques', 'Sièges Cuir', 'Caméra De Recul']"
BMW X1 Diesel Automatique 2014 à Casablanca,KAMAL,153 000 DH,Casablanca,Diesel,Automatique,8 CV,9 Images,"Voitures d'occasion, à vendre",Oulfa,WW au Maroc,Excellent,BMW,X1,2014,5,Oui,130 000 - 139 999,"['Vitres Électriques', 'Système De Navigation/GPS', 'Jantes Aluminium', 'Toit Ouvrant', 'Sièges Cuir', 'Radar De Recul', 'Climatisation', 'Airbags']"
Audi Q5 Diesel Automatique 2017 à Fès,Auto Noumedia,465 000 DH,Fès,Diesel,Automatique,8 CV,8 Images,"Voitures d'occasion, à vendre",Narjis,Dédouanée,Excellent,Audi,Q5,2017,5,Oui,170 000 - 179 999,"['Climatisation', 'ESP', 'Airbags', 'Sièges Cuir', 'CD/MP3/Bluetooth', 'ABS', 'Caméra De Recul', 'Radar De Recul', 'Toit Ouvrant', 'Limiteur De Vitesse', 'Régulateur De Vitesse', 'Vitres Électriques', 'Système De Navigation/GPS', 'Jantes Aluminium', 'Verrouillage Centralisé À Distance', 'Ordinateur De Bord']"
Renault Fluence Diesel Manuelle 2013 à Agadir,Auto NAJIB AGADIR,110 000 DH,Agadir,Diesel,Manuelle,6 CV,12 Images,"Voitures d'occasion, à vendre",Hay Zaytoun,WW au Maroc,Très bon,Renault,Fluence,2013,5,Non,130 000 - 139 999,"['Climatisation', 'Régulateur De Vitesse', 'ABS', 'Vitres Électriques', 'CD/MP3/Bluetooth', 'Radar De Recul', 'Jantes Aluminium', 'Verrouillage Centralisé À Distance', 'Limiteur De Vitesse', 'Caméra De Recul', 'Ordinateur De Bord', 'Airbags']"
Dacia Duster Diesel,Garage Al Fassia,102 000 DH,Fès,Diesel,Manuelle,6 CV,8 Images,"Voitures d'occasion, à vendre",Route de Sefrou,,Très bon,Dacia,Duster,2012,,,180 000 - 189 999,[]
Hyundai Grand i10 Essence Manuelle 2020 à Tanger,Global occaz tanger,100 000 DH,Tanger,Essence,Manuelle,6 CV,7 Images,"Voitures d'occasion, à vendre",Centre ville,WW au Maroc,Excellent,Hyundai,Grand i10,2020,5,Oui,25 000 - 29 999,[]
Seat Ibiza FR 2021 à Rabat,SHOWROOM AYOUB,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Manuelle,7 CV,13 Images,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Neuf,Seat,Ibiza,2021,5,Oui,45 000 - 49 999,"['Régulateur De Vitesse', 'Jantes Aluminium', 'Toit Ouvrant', 'Verrouillage Centralisé À Distance', 'Vitres Électriques', 'ESP', 'Airbags', 'Caméra De Recul', 'Ordinateur De Bord', 'Limiteur De Vitesse', 'CD/MP3/Bluetooth', 'Radar De Recul', 'ABS', 'Climatisation']"
Fiat Doblo Diesel blanche,Garage Al Fassia,95 000 DH,Fès,Diesel,Manuelle,5 CV,6 Images,"Voitures d'occasion, à vendre",Route de Sefrou,,Excellent,Fiat,Doblo,2019,,,85 000 - 89 999,[]
Skoda Octavia 2.0 Diesel Manuelle 2018,VIP Auto Tanger,165 000 DH,Tanger,Diesel,Manuelle,8 CV,20 Images,"Voitures d'occasion, à vendre",Mozart,WW au Maroc,Très bon,Skoda,Octavia,2018,5,Non,170 000 - 179 999,"['Ordinateur De Bord', 'Limiteur De Vitesse', 'Système De Navigation/GPS', 'Verrouillage Centralisé À Distance', 'ABS', 'Jantes Aluminium', 'Régulateur De Vitesse', 'Radar De Recul', 'CD/MP3/Bluetooth', 'Climatisation', 'Vitres Électriques', 'ESP', 'Airbags']"
Renault Clio Diesel Manuelle 2020 à Tanger,Global occaz tanger,168 000 DH,Tanger,Diesel,Manuelle,6 CV,7 Images,"Voitures d'occasion, à vendre",Centre ville,WW au Maroc,Excellent,Renault,Clio,2020,5,Oui,80 000 - 84 999,[]
Citroen C4 Diesel Manuelle 2014 à Tanger,EL ISSAMY AUTO,107 000 DH,Tanger,Diesel,Manuelle,6 CV,3 Images,"Voitures d'occasion, à vendre",Ahlane,WW au Maroc,Très bon,Citroen,C4,2014,5,Non,190 000 - 199 999,"['Vitres Électriques', 'Verrouillage Centralisé À Distance', 'Caméra De Recul', 'Radar De Recul', 'Système De Navigation/GPS', 'ABS', 'Limiteur De Vitesse', 'Régulateur De Vitesse', 'ESP', 'CD/MP3/Bluetooth', 'Climatisation', 'Jantes Aluminium', 'Airbags', 'Ordinateur De Bord']"
Land Rover Range Rover Evoque Diesel Automatique,Marjane Auto,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Automatique,8 CV,9 Images,"Voitures d'occasion, à vendre",Hay el Fath,WW au Maroc,Excellent,Land Rover,Range Rover Evoque,2020,5,Oui,75 000 - 79 999,"['Régulateur De Vitesse', 'Vitres Électriques', 'ABS', 'Airbags', 'Sièges Cuir', 'Ordinateur De Bord', 'Verrouillage Centralisé À Distance', 'ESP', 'Toit Ouvrant', 'Radar De Recul', 'Jantes Aluminium', 'Climatisation', 'Système De Navigation/GPS', 'Limiteur De Vitesse', 'CD/MP3/Bluetooth', 'Caméra De Recul']"
Volkswagen Touareg Diesel Automatique 2020 à Fès,Propriétaire,420 000 DH,Fès,Diesel,Automatique,12 CV,9 Images,"Voitures d'occasion, à vendre",Route d'Immouzere,WW au Maroc,Excellent,Volkswagen,Touareg,2020,5,Oui,110 000 - 119 999,"['Régulateur De Vitesse', 'Ordinateur De Bord', 'Jantes Aluminium', 'Limiteur De Vitesse', 'CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'Caméra De Recul', 'Système De Navigation/GPS', 'Airbags', 'Vitres Électriques', 'ESP', 'Sièges Cuir', 'ABS', 'Radar De Recul', 'Climatisation']"
Mercedes classe A 180 pac amg,Auto Noumedia,385 000 DH,Fès,Diesel,Automatique,7 CV,11 Images,"Voitures d'occasion, à vendre",Saies,Dédouanée,Excellent,Mercedes-Benz,Classe A,2018,,Oui,150 000 - 159 999,[]
Land Rover Range Rover Sport Diesel Automatique,Espace auto Tebaa,370 000 DH,Rabat,Diesel,Automatique,11 CV,12 Images,"Voitures d'occasion, à vendre",Hay Riad,Importée neuve,Excellent,Land Rover,Range Rover Sport,2016,5,Non,170 000 - 179 999,"['Limiteur De Vitesse', 'CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'Sièges Cuir', 'Radar De Recul', 'Climatisation', 'Airbags', 'Caméra De Recul', 'ESP', 'Toit Ouvrant', 'Ordinateur De Bord', 'Vitres Électriques', 'Système De Navigation/GPS', 'Jantes Aluminium', 'ABS', 'Régulateur De Vitesse']"
FORD KUGA DIESEL AUTOMATIQUE ST LINE,Said,240 000 DH,Kénitra,Diesel,Automatique,8 CV,7 Images,"Voitures d'occasion, à vendre",Al Maghrib Al Arabi,WW au Maroc,Bon,Ford,Kuga,2019,5,Oui,140 000 - 149 999,"['Système De Navigation/GPS', 'Verrouillage Centralisé À Distance', 'Vitres Électriques', 'Airbags', 'CD/MP3/Bluetooth', 'ESP', 'Jantes Aluminium', 'Régulateur De Vitesse', 'Caméra De Recul', 'ABS', 'Limiteur De Vitesse', 'Climatisation', 'Radar De Recul', 'Toit Ouvrant', 'Sièges Cuir', 'Ordinateur De Bord']"
Citroen C3 diesel,LA PRINCESSE AUTO,115 000 DH,Fès,Diesel,Manuelle,6 CV,8 Images,"Voitures d'occasion, à vendre",Route de Sefrou,WW au Maroc,Très bon,Citroen,C3,2018,5,Oui,130 000 - 139 999,"['Régulateur De Vitesse', 'Airbags', 'CD/MP3/Bluetooth', 'Limiteur De Vitesse', 'Climatisation', 'Verrouillage Centralisé À Distance', 'Vitres Électriques', 'ABS', 'Système De Navigation/GPS', 'Ordinateur De Bord', 'ESP']"
Mercedes C 220 Pack Amg,Particulier,PRIX NON SPÉCIFIÉ,Tanger,Diesel,Automatique,9 CV,6 Images,"Voitures d'occasion, à vendre",Moujahidine,Dédouanée,,Mercedes-Benz,Classe C,2019,,,100 000 - 109 999,[]
Dacia Sandero Stepway Diesel Manuelle 2014,BENHAMMOU AUTO,PRIX NON SPÉCIFIÉ,Agadir,Diesel,Manuelle,6 CV,12 Images,"Voitures d'occasion, à vendre",Extension Dakhla,WW au Maroc,Très bon,Dacia,sandero_stepway,2014,5,Oui,190 000 - 199 999,"['Régulateur De Vitesse', 'Ordinateur De Bord', 'Jantes Aluminium', 'Climatisation', 'ESP', 'Caméra De Recul', 'Limiteur De Vitesse', 'Airbags', 'CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'Système De Navigation/GPS', 'ABS', 'Radar De Recul', 'Vitres Électriques']"
Mercedes-Benz Sprinter Diesel Automatique 2020,Vendez Votre Voiture,275 000 DH,Casablanca,Diesel,Automatique,9 CV,9 Images,"Voitures d'occasion, à vendre",Belvédère,WW au Maroc,Excellent,Mercedes-Benz,Sprinter,2020,5,Oui,120 000 - 129 999,"['Climatisation', 'Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'ABS', 'ESP', 'Airbags', 'Ordinateur De Bord', 'Limiteur De Vitesse', 'Vitres Électriques', 'Caméra De Recul', 'CD/MP3/Bluetooth']"
Mercedes-Benz Classe CLS Diesel Automatique 2018,LEVING AUTO,PRIX NON SPÉCIFIÉ,Casablanca,Diesel,Automatique,12 CV,10 Images,"Voitures d'occasion, à vendre",Val Fleuri,Importée neuve,Excellent,Mercedes-Benz,Classe CLS,2018,5,Oui,130 000 - 139 999,"['ESP', 'Climatisation', 'Ordinateur De Bord', 'Caméra De Recul', 'CD/MP3/Bluetooth', 'Jantes Aluminium', 'Toit Ouvrant', 'Sièges Cuir', 'Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'Vitres Électriques', 'Radar De Recul', 'Limiteur De Vitesse', 'Airbags', 'Système De Navigation/GPS', 'ABS']"
Mercedes-Benz Classe C Diesel Automatique 2019,W16_autohaus,PRIX NON SPÉCIFIÉ,Fès,Diesel,Automatique,6 CV,6 Images,"Voitures d'occasion, à vendre",Route Ain Chkaf,Dédouanée,Neuf,Mercedes-Benz,Classe C,2019,5,Oui,90 000 - 94 999,[]
BMW Série 5 Diesel Automatique 2020 à Casablanca,Saad,PRIX NON SPÉCIFIÉ,Casablanca,Diesel,Automatique,8 CV,8 Images,"Voitures d'occasion, à vendre",Californie,WW au Maroc,Excellent,BMW,Serie 5,2020,5,Oui,90 000 - 94 999,"['Verrouillage Centralisé À Distance', 'Vitres Électriques', 'Ordinateur De Bord', 'Régulateur De Vitesse', 'Jantes Aluminium', 'Climatisation', 'ABS', 'Système De Navigation/GPS', 'Airbags', 'Toit Ouvrant', 'ESP', 'CD/MP3/Bluetooth', 'Radar De Recul', 'Caméra De Recul', 'Limiteur De Vitesse', 'Sièges Cuir']"
Peugeot 3008,DRISS,195 000 DH,Kénitra,Diesel,Manuelle,8 CV,6 Images,"Voitures d'occasion, à vendre",Ouled Oujih,WW au Maroc,Neuf,Peugeot,3008,2017,5,Non,80 000 - 84 999,"['Vitres Électriques', 'Jantes Aluminium', 'CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'Climatisation', 'Limiteur De Vitesse', 'Ordinateur De Bord', 'Régulateur De Vitesse', 'ESP', 'ABS', 'Système De Navigation/GPS', 'Airbags']"
Seat Ibiza Essence Manuelle 2021 à Rabat,Espace auto Tebaa,145 000 DH,Rabat,Essence,Manuelle,6 CV,10 Images,"Voitures d'occasion, à vendre",Hay Riad,WW au Maroc,Excellent,Seat,Ibiza,2021,5,Non,50 000 - 54 999,"['Toit Ouvrant', 'ABS', 'Airbags', 'Jantes Aluminium', 'Sièges Cuir', 'Limiteur De Vitesse', 'Radar De Recul', 'Climatisation', 'Régulateur De Vitesse', 'ESP', 'Verrouillage Centralisé À Distance', 'Ordinateur De Bord', 'Vitres Électriques', 'Système De Navigation/GPS', 'CD/MP3/Bluetooth']"
AUDI Q3 TDI SPORTBACK,TGV AUTO,PRIX NON SPÉCIFIÉ,Casablanca,Diesel,Automatique,8 CV,10 Images,"Voitures d'occasion, à vendre",Belvédère,WW au Maroc,Excellent,Audi,q3_sportback,2022,5,Oui,20 000 - 24 999,"['Régulateur De Vitesse', 'Climatisation', 'Ordinateur De Bord', 'Jantes Aluminium', 'Caméra De Recul', 'Verrouillage Centralisé À Distance', 'Radar De Recul', 'Toit Ouvrant', 'ABS', 'Sièges Cuir', 'Airbags', 'ESP', 'Vitres Électriques', 'Limiteur De Vitesse', 'CD/MP3/Bluetooth']"
BMW X5 3.0d t.opt,TGV AUTO,PRIX NON SPÉCIFIÉ,Casablanca,Diesel,Automatique,12 CV,11 Images,"Voitures d'occasion, à vendre",Belvédère,WW au Maroc,Excellent,BMW,X5,2020,5,Non,100 000 - 109 999,"['Sièges Cuir', 'Radar De Recul', 'Caméra De Recul', 'CD/MP3/Bluetooth', 'Climatisation', 'Régulateur De Vitesse', 'Vitres Électriques', 'Toit Ouvrant', 'Limiteur De Vitesse', 'ABS', 'Jantes Aluminium', 'Ordinateur De Bord', 'ESP', 'Système De Navigation/GPS', 'Airbags', 'Verrouillage Centralisé À Distance']"
DFSK K01s,Espace auto Tebaa,PRIX NON SPÉCIFIÉ,Rabat,Essence,Manuelle,6 CV,9 Images,"Voitures d'occasion, à vendre",Hay Riad,WW au Maroc,Neuf,DFSK,K01s,2023,3,Oui,0 - 4 999,"['ESP', 'Climatisation', 'Airbags', 'ABS']"
Volkswagen Touareg 2019,Auto Store,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Automatique,12 CV,8 Images,"Voitures d'occasion, à vendre",Hassan,WW au Maroc,Excellent,Volkswagen,Touareg,2019,5,Oui,95 000 - 99 999,"['ABS', 'Limiteur De Vitesse', 'Régulateur De Vitesse', 'Verrouillage Centralisé À Distance', 'Airbags', 'Caméra De Recul', 'Jantes Aluminium', 'Vitres Électriques', 'Climatisation', 'ESP', 'Système De Navigation/GPS', 'Ordinateur De Bord', 'Radar De Recul', 'CD/MP3/Bluetooth']"
Citroen C3 Diesel Manuelle 2020 à Rabat,Espace auto Tebaa,145 000 DH,Rabat,Diesel,Manuelle,6 CV,10 Images,"Voitures d'occasion, à vendre",Hay Riad,WW au Maroc,Excellent,Citroen,C3,2020,5,Oui,50 000 - 54 999,"['CD/MP3/Bluetooth', 'Climatisation', 'Régulateur De Vitesse', 'Système De Navigation/GPS', 'ABS', 'Limiteur De Vitesse', 'Radar De Recul', 'Verrouillage Centralisé À Distance', 'Jantes Aluminium', 'ESP', 'Airbags', 'Vitres Électriques', 'Ordinateur De Bord']"
Mercedes-Benz Classe CLA Diesel Automatique 2023,Expert Occaz,670 000 DH,Casablanca,Diesel,Automatique,8 CV,15 Images,"Voitures d'occasion, à vendre",Californie,Importée neuve,Très bon,Mercedes-Benz,Classe CLA,2023,5,Oui,20 000 - 24 999,"['Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'Jantes Aluminium', 'Radar De Recul', 'Vitres Électriques', 'Climatisation', 'Limiteur De Vitesse', 'Ordinateur De Bord', 'Caméra De Recul', 'ABS', 'CD/MP3/Bluetooth', 'Airbags', 'Toit Ouvrant', 'ESP', 'Sièges Cuir', 'Système De Navigation/GPS']"
Nissan Qashqai,Hollywood auto,PRIX NON SPÉCIFIÉ,Fès,Diesel,Manuelle,6 CV,7 Images,"Voitures d'occasion, à vendre",Agdal,WW au Maroc,Excellent,Nissan,Qashqai,2018,5,,120 000 - 129 999,[]
BMW X3 Diesel t.opt,TGV AUTO,PRIX NON SPÉCIFIÉ,Casablanca,Diesel,Automatique,8 CV,10 Images,"Voitures d'occasion, à vendre",Belvédère,WW au Maroc,Très bon,BMW,X3,2015,5,Non,200 000 - 249 999,"['Jantes Aluminium', 'CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'Climatisation', 'Sièges Cuir', 'Limiteur De Vitesse', 'Ordinateur De Bord', 'Régulateur De Vitesse', 'ABS', 'Vitres Électriques', 'ESP', 'Airbags', 'Radar De Recul', 'Caméra De Recul']"
Dacia duster,Espace auto Tebaa,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Manuelle,6 CV,10 Images,"Voitures d'occasion, à vendre",Hay Riad,WW au Maroc,Excellent,Dacia,Duster,2021,5,Oui,60 000 - 64 999,"['Climatisation', 'Régulateur De Vitesse', 'Caméra De Recul', 'ABS', 'CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'Radar De Recul', 'Airbags', 'Système De Navigation/GPS', 'ESP', 'Vitres Électriques', 'Ordinateur De Bord', 'Limiteur De Vitesse', 'Jantes Aluminium']"
Mercedes-Benz Classe GLC Coupé Diesel 2024,Elegance cars,PRIX NON SPÉCIFIÉ,Casablanca,Diesel,Automatique,10 CV,10 Images,"Voitures d'occasion, à vendre",Maarif,Importée neuve,Neuf,Mercedes-Benz,CLASSE GLC COUPE,2024,5,Oui,0 - 4 999,[]
Hyundai ix 35 Diesel Manuelle 2014 à Casablanca,Rochdi Negoce,140 000 DH,Casablanca,Diesel,Manuelle,7 CV,5 Images,"Voitures d'occasion, à vendre",Oulfa,WW au Maroc,Très bon,Hyundai,ix 35,2014,5,Oui,190 000 - 199 999,"['ABS', 'Limiteur De Vitesse', 'Verrouillage Centralisé À Distance', 'Vitres Électriques', 'Régulateur De Vitesse', 'ESP', 'Radar De Recul', 'Airbags', 'Jantes Aluminium', 'Climatisation', 'CD/MP3/Bluetooth']"
Ford Kuga Diesel Manuelle 2017 à Rabat,SHOWROOM AYOUB,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Manuelle,8 CV,14 Images,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Très bon,Ford,Kuga,2017,5,Oui,120 000 - 129 999,"['Caméra De Recul', 'ESP', 'Jantes Aluminium', 'Ordinateur De Bord', 'Vitres Électriques', 'Radar De Recul', 'ABS', 'CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'Limiteur De Vitesse', 'Régulateur De Vitesse', 'Climatisation', 'Airbags']"
Audi Q8 E-tron Sportback 55 Black Edition,Luxury Motors Tanger,PRIX NON SPÉCIFIÉ,Tanger,,Automatique,22 CV,18 Images,"Voitures d'occasion, à vendre",Centre,Importée neuve,Neuf,Audi,Q8,2024,5,Oui,0 - 4 999,[]
